States,Zone,Period,Year,temp_change,Baseline mean
Karnataka,South,Mar,1951,-0.389999999999997,28.08
Karnataka,South,Apr,1951,-0.8900000000000006,29.75
Karnataka,South,May,1951,-0.5599999999999987,29.43
Karnataka,South,Jun,1951,-0.7699999999999996,26.69
Karnataka,South,Jul,1951,-0.28999999999999915,25.24
Karnataka,South,Aug,1951,0.05999999999999872,25.02
Karnataka,South,Sep,1951,0.3100000000000023,25.4
Karnataka,South,Oct,1951,0.38000000000000256,25.47
Karnataka,South,Nov,1951,0.28999999999999915,24.18
Karnataka,South,Dec,1951,-0.7199999999999989,23.0
Karnataka,South,Annual,1951,-0.3500000000000014,25.92
Karnataka,South,Winter,1951,-0.8300000000000018,24.39
Karnataka,South,Summer,1951,-0.6099999999999994,29.08
Karnataka,South,Monsoon,1951,-0.16999999999999815,25.59
Karnataka,South,Post Monsoon,1951,-0.010000000000001563,24.21
Kerala,South,Jan,1951,-0.6799999999999997,25.39
Kerala,South,Feb,1951,-1.3500000000000014,26.3
Kerala,South,Mar,1951,-0.7800000000000011,27.64
Kerala,South,Apr,1951,-0.9899999999999984,28.43
Kerala,South,May,1951,-0.46999999999999886,27.79
Kerala,South,Jun,1951,-0.9199999999999982,25.99
Kerala,South,Jul,1951,-0.6799999999999997,25.22
Kerala,South,Aug,1951,0.14999999999999858,25.37
Kerala,South,Sep,1951,-0.08000000000000185,25.82
Kerala,South,Oct,1951,0.08999999999999986,25.98
Kerala,South,Nov,1951,-0.05000000000000071,25.78
Kerala,South,Dec,1951,-0.5599999999999987,25.33
Kerala,South,Annual,1951,-0.5199999999999996,26.25
Kerala,South,Winter,1951,-1.0100000000000016,25.84
Kerala,South,Summer,1951,-0.7399999999999984,27.95
Kerala,South,Monsoon,1951,-0.38000000000000256,25.6
Kerala,South,Post Monsoon,1951,-0.17999999999999972,25.7
Lakshadweep,South,Jan,1951,-0.7000000000000028,27.1
Lakshadweep,South,Feb,1951,-1.2899999999999991,27.09
Lakshadweep,South,Mar,1951,-0.860000000000003,27.76
Lakshadweep,South,Apr,1951,-0.9699999999999989,28.57
Lakshadweep,South,May,1951,-0.33999999999999986,28.34
Lakshadweep,South,Jun,1951,-1.0899999999999999,27.29
Lakshadweep,South,Jul,1951,-0.8000000000000007,27.0
Lakshadweep,South,Aug,1951,0.14000000000000057,26.96
Lakshadweep,South,Sep,1951,-0.14000000000000057,26.94
Lakshadweep,South,Oct,1951,-0.08999999999999986,27.29
Lakshadweep,South,Nov,1951,-0.21000000000000085,27.41
Lakshadweep,South,Dec,1951,-0.629999999999999,27.43
Lakshadweep,South,Annual,1951,-0.5799999999999983,27.43
Lakshadweep,South,Winter,1951,-0.9899999999999984,27.09
Lakshadweep,South,Summer,1951,-0.7199999999999989,28.22
Lakshadweep,South,Monsoon,1951,-0.4700000000000024,27.05
Lakshadweep,South,Post Monsoon,1951,-0.3099999999999987,27.38
Madhya Pradesh,Central,Jan,1951,-0.9600000000000009,17.61
Madhya Pradesh,Central,Feb,1951,-0.8000000000000007,20.51
Madhya Pradesh,Central,Mar,1951,-0.4200000000000017,25.62
Madhya Pradesh,Central,Apr,1951,-1.6800000000000033,30.51
Madhya Pradesh,Central,May,1951,-0.10000000000000142,33.61
Madhya Pradesh,Central,Jun,1951,0.22999999999999687,31.96
Madhya Pradesh,Central,Jul,1951,0.9299999999999997,27.75
Madhya Pradesh,Central,Aug,1951,-0.08999999999999986,26.56
Madhya Pradesh,Central,Sep,1951,0.4499999999999993,26.93
Madhya Pradesh,Central,Oct,1951,1.6099999999999994,25.89
Madhya Pradesh,Central,Nov,1951,0.41999999999999815,21.92
Madhya Pradesh,Central,Dec,1951,-0.7899999999999991,18.4
Madhya Pradesh,Central,Annual,1951,-0.09999999999999787,25.61
Madhya Pradesh,Central,Winter,1951,-0.879999999999999,19.06
Madhya Pradesh,Central,Summer,1951,-0.7300000000000004,29.91
Madhya Pradesh,Central,Monsoon,1951,0.379999999999999,28.3
Madhya Pradesh,Central,Post Monsoon,1951,0.41000000000000014,22.07
Maharashtra,West,Jan,1951,-0.8900000000000006,22.04
Maharashtra,West,Feb,1951,-0.8299999999999983,24.33
Maharashtra,West,Mar,1951,-0.22000000000000242,28.05
Maharashtra,West,Apr,1951,-1.1799999999999997,31.24
Maharashtra,West,May,1951,-0.4399999999999977,32.72
Maharashtra,West,Jun,1951,-0.23000000000000043,29.79
Maharashtra,West,Jul,1951,0.41999999999999815,26.89
Maharashtra,West,Aug,1951,-0.16000000000000014,26.11
Maharashtra,West,Sep,1951,0.6099999999999994,26.61
Maharashtra,West,Oct,1951,0.8000000000000007,26.58
Maharashtra,West,Nov,1951,0.35999999999999943,24.04
Maharashtra,West,Dec,1951,-0.9199999999999982,21.99
Maharashtra,West,Annual,1951,-0.21999999999999886,26.7
Maharashtra,West,Winter,1951,-0.860000000000003,23.19
Maharashtra,West,Summer,1951,-0.610000000000003,30.67
Maharashtra,West,Monsoon,1951,0.16000000000000014,27.35
Maharashtra,West,Post Monsoon,1951,0.08000000000000185,24.2
Manipur,North East,Jan,1951,-0.40000000000000036,13.44
Manipur,North East,Feb,1951,-0.20999999999999908,15.18
Manipur,North East,Mar,1951,-0.03999999999999915,18.46
Manipur,North East,Apr,1951,-0.9399999999999977,20.61
Manipur,North East,May,1951,-0.389999999999997,21.83
Manipur,North East,Jun,1951,-0.4299999999999997,22.56
Manipur,North East,Jul,1951,-0.4200000000000017,22.82
Manipur,North East,Aug,1951,0.120000000000001,22.9
